system,model,n,clean_accuracy,adversarial_accuracy,aer,pafr,safe_reject_rate,clean_htr,adv_htr,overall_htr,median_clean_latency_ms,median_adv_latency_ms,median_latency_ms
abci,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,2134.8536999430507,2002.9826000100002,2043.8881000154652
abci,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,3976.3875999487936,4296.52430000715,4057.0613999734633
abci,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,13908.390500000678,13849.767799954861,13879.07914997777
abci,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,48775.270399986766,48841.600799933076,48824.814349994995
deterministic_grammar_policy,deterministic,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.03969995304942131,0.015700003132224083,0.03284995909780264
llm_assist_rule_approval,meta-llama/Llama-3.2-1B-Instruct,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11796.011000056751,11010.172999929637,11493.15790005494
llm_assist_rule_approval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,64221.41040000133,64300.49039993901,64260.95039997017
llm_assist_rule_approval,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,18503.63630009815,19014.305099961348,18562.521049985662
llm_assist_rule_approval,Qwen/Qwen3-1.7B,5,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,30123.244900023565,27589.36880005058,29409.205799980555
direct_decision,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.8,0.0,0.0,0.0,0.0,14557.689500041306,7063.708800007589,12051.652800000738
direct_decision,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,21128.876400063746,21405.952099943534,21279.16819998063
direct_decision,google/gemma-3-1b-it,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,7898.4293000539765,11199.427000014111,8075.3198500024155
direct_decision,Qwen/Qwen3-1.7B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,8688.227299950086,8828.983000013977,8715.07500007283
role_separated,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,9703.294100007042,9671.195700066164,9700.763900007587
role_separated,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,21626.31490000058,22414.461099891923,22084.34975001728
role_separated,google/gemma-3-1b-it,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,8542.298599961214,8594.148100004531,8576.535850006621
role_separated,Qwen/Qwen3-1.7B,5,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,9930.15359994024,10007.098200032488,9959.803850040771
schema_constrained,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,73907.99470001366,74082.64060004149,74005.89185004355
schema_constrained,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,109969.88280001096,110093.2199000381,110006.45089999307
schema_constrained,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,54077.02139997855,54088.80120003596,54082.911300007254
schema_constrained,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,55257.372799911536,55413.236000109464,55295.84989999421
