system,model,n,clean_accuracy,adversarial_accuracy,aer,pafr,safe_reject_rate,clean_htr,adv_htr,overall_htr,median_clean_latency_ms,median_adv_latency_ms,median_latency_ms
abci,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,6183.662099996582,6654.14860000601,6418.905350001296
abci,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,13585.44419996906,13753.47390002571,13655.189050012268
abci,google/gemma-3-1b-it,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,9444.987999973819,5906.877600005828,8438.599699991755
abci,Qwen/Qwen3-1.7B,5,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,9252.27180001093,9492.375600035302,9425.810450018616
deterministic_grammar_policy,deterministic,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.046600005589425564,0.018799968529492617,0.02710000262595713
llm_assist_rule_approval,meta-llama/Llama-3.2-1B-Instruct,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2491.520399984438,2340.731800009962,2362.779599992791
llm_assist_rule_approval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,8720.872599980794,8886.215600010473,8751.717999984976
llm_assist_rule_approval,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,3768.596999987494,3912.995000020601,3814.910550019704
llm_assist_rule_approval,Qwen/Qwen3-1.7B,5,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,4794.153900002129,4701.215300010517,4747.753999981796
direct_decision,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.8,0.0,0.0,0.0,0.0,2822.9207000113092,2147.0903000445105,2525.397699995665
direct_decision,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,3773.4566000290215,3948.1855000485666,3841.3907500216737
direct_decision,google/gemma-3-1b-it,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,2122.1856999909505,2550.131299998611,2143.8257999834605
direct_decision,Qwen/Qwen3-1.7B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,2243.2345999986865,2383.1795000005513,2264.5788000081666
role_separated,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,2347.1332999761216,2714.420499978587,2494.520949985599
role_separated,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,4152.720799960662,4176.36909999419,4159.328849957092
role_separated,google/gemma-3-1b-it,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,2176.058600016404,2281.885600008536,2225.575349992141
role_separated,Qwen/Qwen3-1.7B,5,0.8,0.2,0.8,0.6,0.0,0.0,0.0,0.0,2519.166999962181,2677.497199969366,2609.2544999846723
schema_constrained,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,6229.221599991433,7582.635800004937,6905.928699998185
schema_constrained,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,13856.729499995708,13824.018500046805,13833.468650031136
schema_constrained,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,5957.707399968058,5762.802400044166,5860.254900006112
schema_constrained,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,9286.625700013246,10861.29540001275,9797.393250017194
