system,model,n,clean_accuracy,adversarial_accuracy,aer,pafr,safe_reject_rate,clean_htr,adv_htr,overall_htr,median_clean_latency_ms,median_adv_latency_ms,median_latency_ms
abci,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.0,19308.961700007785,18785.064499999862,18861.61579997861
abci,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,25400.53300000727,25223.162600013893,25391.866199992364
abci,google/gemma-3-1b-it,5,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,13451.959099969827,14057.147300045472,13771.610650001094
abci,Qwen/Qwen3-1.7B,5,1.0,0.6,0.4,0.4,0.0,0.0,0.0,0.0,16516.818500007503,17751.493900024798,17029.120999999577
deterministic_grammar_policy,deterministic,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0342000275850296,0.014199991710484028,0.023049971787258983
llm_assist_rule_approval,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,10958.09349999763,2358.9408000116237,4983.039799990365
llm_assist_rule_approval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,23118.48609999288,22538.344100001268,22828.415099997073
llm_assist_rule_approval,google/gemma-3-1b-it,5,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,7091.167899954598,7109.571400040295,7100.369649997447
llm_assist_rule_approval,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,9035.207900044043,9079.07699997304,9057.142450008541
direct_decision,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,2129.519000009168,2281.790099979844,2198.245300009148
direct_decision,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,23406.571500003338,23383.547999954317,23395.059749978827
direct_decision,google/gemma-3-1b-it,5,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,1858.3670999505557,1854.8824000172317,1856.6247499838937
direct_decision,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,3155.6952000246383,3266.934300016146,3208.9488999918103
role_separated,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.4,0.6,0.2,0.0,0.0,0.0,0.0,2593.043899978511,2729.5380999566987,2658.247100014705
role_separated,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,23670.559599995613,22325.852799986023,23518.18730001105
role_separated,google/gemma-3-1b-it,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,1876.2114999699406,1993.5447000316344,1921.944550005719
role_separated,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,3143.909100035671,3483.2550000282936,3262.915300001623
schema_constrained,meta-llama/Llama-3.2-1B-Instruct,5,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.0,16946.16460002726,2846.8157000024803,9381.3952000055
schema_constrained,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.6,0.2,0.8,0.4,0.0,0.0,0.0,0.0,22884.55790001899,22766.213399998378,22825.385650008684
schema_constrained,google/gemma-3-1b-it,5,1.0,0.6,0.4,0.4,0.0,0.0,0.0,0.0,11200.68639999954,12219.944400014356,11848.476749990368
schema_constrained,Qwen/Qwen3-1.7B,5,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,14289.028600032907,16561.31160003133,14501.114950020565
